Sun, 16 Sep 2012 16:17:43 +0800	[256]MySQL Error[1064]: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '\xE5\xBC\xA0\xE5\xAE\x87\xE8\x88\xAA AND is_void =0' at line 1
MySQL Query:SELECT *,sell.sell_id FROM ecm_sell sell WHERE order_sn=张宇航 AND is_void =0
Wrong File:  /var/local/worldmall/erps.worldmall.cn/eccore/model/mysql.php[533]	/eccore/model/mysql.php	285
Wed, 26 Sep 2012 14:42:31 +0800	[2]Division by zero	/app/warehouse.app.php	310
Wed, 26 Sep 2012 15:08:40 +0800	[2]Division by zero	/app/warehouse.app.php	310
Wed, 26 Sep 2012 19:34:42 +0800	[2]Division by zero	/app/warehouse.app.php	310
Fri, 28 Sep 2012 14:40:05 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 14:40:25 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 14:42:48 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 14:45:23 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 14:58:42 +0800	[2]Division by zero	/app/warehouse.app.php	310
Fri, 28 Sep 2012 15:04:16 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 15:06:32 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 15:06:36 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 15:08:40 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 15:08:56 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 15:09:09 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 15:10:08 +0800	[2]Division by zero	/app/sell.app.php	62
Fri, 28 Sep 2012 15:14:55 +0800	[2]Division by zero	/app/warehouse.app.php	310
